a75
checkpoints/train,20epochs,lr6e-05/07-22-17:02/dpsnet_18_checkpoint.pth.tar
,abs_rel,   abs_diff,     sq_rel,        rms,    log_rms,         a1,         a2,         a3
mvs, 0.0696,     0.1820,     0.0662,     0.4039,     0.1467,     0.9079,     0.9641,     0.9846
sun3d,0.1281,     0.2990,     0.0852,     0.3888,     0.1747,     0.8238,     0.9446,     0.9800
rgbd,0.1270,     0.4494,     0.2114,     0.6029,     0.2060,     0.8718,     0.9315,     0.9472
scenes11,0.0492,     0.1468,     0.1072,     0.4639,     0.1152,     0.9698,     0.9860,     0.9914
all, 0.0883,     0.2560,     0.1182,     0.4674,     0.1550,     0.9033,     0.9603,     0.9776

