a9375 desktop
checkpoints/train,20epochs,lr6e-05/07-23-12:07/dpsnet_19_checkpoint.pth.tar
,abs_rel,   abs_diff,     sq_rel,        rms,    log_rms,         a1,         a2,         a3
mvs, 0.0928,     0.2878,     0.1252,     0.5239,     0.1853,     0.8636,     0.9354,     0.9660
sun3d,0.1293,     0.2970,     0.0865,     0.3857,     0.1748,     0.8286,     0.9446,     0.9792
rgbd,0.1307,     0.4626,     0.2208,     0.6109,     0.2148,     0.8571,     0.9248,     0.9421
scenes11,0.0534,     0.1626,     0.1172,     0.4981,     0.1222,     0.9659,     0.9850,     0.9907
all, 0.0953,     0.2841,     0.1353,     0.5033,     0.1667,     0.8914,     0.9531,     0.9725
