a875 reedbush
checkpoints/train,20epochs,lr6e-05/07-23-15:09/dpsnet_19_checkpoint.pth.tar
,abs_rel,   abs_diff,     sq_rel,        rms,    log_rms,         a1,         a2,         a3
mvs, 0.0729,     0.1904,     0.0691,     0.4139,     0.1519,     0.9012,     0.9602,     0.9846
sun3d,0.1271,     0.2911,     0.0838,     0.3808,     0.1706,     0.8355,     0.9520,     0.9829
rgbd,0.1256,     0.4362,     0.1953,     0.5858,     0.1958,     0.8718,     0.9310,     0.9511
scenes11,0.0527,     0.1570,     0.1273,     0.4900,     0.1206,     0.9677,     0.9844,     0.9908
all, 0.0896,     0.2566,     0.1221,     0.4730,     0.1547,     0.9040,     0.9605,     0.9789

