a50
checkpoints/train,20epochs,lr6e-05/07-23-12:05/dpsnet_19_checkpoint.pth.tar
,abs_rel,   abs_diff,     sq_rel,        rms,    log_rms,         a1,         a2,         a3
mvs, 0.0744,     0.1902,     0.0741,     0.4208,     0.1595,     0.8917,     0.9527,     0.9803
sun3d,0.1298,     0.2979,     0.0918,     0.3937,     0.1769,     0.8280,     0.9485,     0.9812
rgbd,0.1252,     0.4525,     0.2193,     0.5941,     0.2062,     0.8722,     0.9323,     0.9456
scenes11,0.0446,     0.1305,     0.0934,     0.4250,     0.1065,     0.9739,     0.9887,     0.9935
all, 0.0875,     0.2521,     0.1180,     0.4555,     0.1548,     0.9028,     0.9602,     0.9774
