dpsnet
log/MVDepthOrig-epoch300-b8-0205-1602
,abs_rel,   abs_diff,     sq_rel,        rms,    log_rms,         a1,         a2,         a3
mvs, 0.0820,     0.2021,     0.0978,     0.4452,     0.1607,     0.8920,     0.9526,     0.9809
sun3d,0.1485,     0.3387,     0.1182,     0.4531,     0.1976,     0.7845,     0.9310,     0.9786
rgbd,0.1517,     0.5345,     0.2530,     0.6995,     0.2436,     0.8092,     0.9003,     0.9326
scenes11,0.0502,     0.1521,     0.1113,     0.4679,     0.1165,     0.9651,     0.9863,     0.9918
all, 0.1012,     0.2898,     0.1424,     0.5128,     0.1717,     0.8757,     0.9481,     0.9734

